id,Potencia,Radiacion,Temperatura,Temperatura panel
0,8.0,-5.0,17.0,15.0
1,8.0,-5.0,17.0,15.0
2,8.0,-5.0,16.0,15.0
3,8.0,-4.0,16.0,14.0
4,8.0,-3.0,15.0,14.0
5,8.0,-3.0,15.0,14.0
6,8.0,-3.0,15.0,14.0
7,8.0,-3.0,16.0,14.0
8,8.0,-3.0,15.0,14.0
9,8.0,-3.0,15.0,14.0
10,8.0,-3.0,15.0,14.0
11,8.0,-4.0,14.0,13.0
12,8.0,-3.0,14.0,13.0
13,8.0,-3.0,14.0,14.0
14,8.0,-3.0,14.0,13.0
15,8.0,-3.0,14.0,13.0
16,8.0,-4.0,14.0,12.0
17,8.0,-4.0,13.0,12.0
18,8.0,-4.0,13.0,11.0
19,8.0,-4.0,13.0,11.0
20,8.0,-4.0,12.0,11.0
21,8.0,-4.0,12.0,10.0
22,8.0,-4.0,12.0,10.0
23,8.0,-3.0,11.0,10.0
24,8.0,-3.0,11.0,10.0
25,8.0,-3.0,11.0,9.0
26,4.0,-2.0,10.0,9.0
27,-16.0,3.0,10.0,9.0
28,-77.0,21.0,11.0,9.0
29,-164.0,58.0,11.0,10.0
30,-641.0,142.0,14.0,12.0
31,-1044.0,267.0,17.0,16.0
32,-1460.0,385.0,20.0,20.0
33,-1852.0,511.0,22.0,25.0
34,-2255.0,638.0,26.0,29.0
35,-2606.0,769.0,29.0,34.0
36,-2715.0,856.0,29.0,39.0
37,-2824.0,910.0,26.0,38.0
38,-2897.0,946.0,25.0,37.0
39,-2967.0,976.0,24.0,36.0
40,-2988.0,998.0,26.0,38.0
41,-3010.0,1014.0,26.0,39.0
42,-3014.0,1027.0,26.0,40.0
43,-3022.0,1042.0,27.0,38.0
44,-3031.0,1053.0,27.0,39.0
45,-3028.0,1059.0,28.0,40.0
46,-3022.0,1062.0,30.0,42.0
47,-3018.0,1060.0,31.0,44.0
48,-3020.0,1064.0,31.0,44.0
49,-3027.0,1068.0,31.0,42.0
50,-3017.0,1068.0,32.0,43.0
51,-3016.0,1065.0,32.0,43.0
52,-3018.0,1064.0,32.0,43.0
53,-3016.0,1064.0,33.0,43.0
54,-3012.0,1060.0,35.0,44.0
55,-3009.0,1055.0,35.0,45.0
56,-3008.0,1054.0,36.0,46.0
57,-3005.0,1054.0,36.0,46.0
58,-3012.0,1054.0,36.0,46.0
59,-3011.0,1055.0,36.0,46.0
60,-3005.0,1054.0,37.0,46.0
61,-2995.0,1047.0,38.0,48.0
62,-2999.0,1045.0,37.0,48.0
63,-2998.0,1042.0,39.0,49.0
64,-2982.0,1040.0,38.0,47.0
65,-2987.0,1033.0,38.0,47.0
66,-2970.0,1028.0,38.0,47.0
67,-2991.0,1017.0,36.0,46.0
68,-2986.0,1017.0,34.0,38.0
69,-2984.0,1004.0,33.0,38.0
70,-2973.0,995.0,32.0,35.0
71,-2929.0,978.0,33.0,36.0
72,-2884.0,954.0,32.0,36.0
73,-2831.0,933.0,30.0,35.0
74,-2772.0,914.0,31.0,34.0
75,-2708.0,885.0,30.0,34.0
76,-2565.0,848.0,29.0,33.0
77,-2276.0,782.0,28.0,31.0
78,-1874.0,669.0,27.0,29.0
79,-1457.0,547.0,25.0,28.0
80,-1027.0,427.0,25.0,26.0
81,-638.0,306.0,24.0,25.0
82,-184.0,185.0,23.0,24.0
83,-86.0,64.0,21.0,22.0
84,-26.0,27.0,19.0,20.0
85,4.0,3.0,18.0,18.0
86,7.0,-3.0,18.0,17.0
87,8.0,-5.0,17.0,17.0
88,8.0,-5.0,17.0,16.0
89,8.0,-5.0,16.0,16.0
90,8.0,-4.0,16.0,15.0
91,8.0,-4.0,16.0,15.0
92,8.0,-4.0,15.0,15.0
93,8.0,-5.0,15.0,15.0
94,8.0,-5.0,15.0,14.0
95,8.0,-4.0,15.0,14.0
96,8.0,-4.0,15.0,14.0
97,8.0,-5.0,14.0,13.0
98,8.0,-5.0,13.0,13.0
99,8.0,-4.0,13.0,12.0
100,8.0,-5.0,12.0,11.0
101,8.0,-5.0,13.0,11.0
